Title,Authors,Subjects,Bookshelves,Read online (web)
"The History of Christianity
Consisting of the Life and Teachings of Jesus of Nazareth; the Adventures of Paul and the Apostles; and the Most Interesting Events in the Progress of Christianity, from the Earliest Period to the Present Time.","Abbott, John S. C. (John Stevens Cabot)","Church history ; BR ; Jesus Christ -- Biography ; Paul, the Apostle, Saint",Browsing: Biographies; Browsing: History - Religious; Browsing: Religion/Spirituality/Paranormal,https://www.gutenberg.org/ebooks/59400.html.images
The Sea Fogs,"Stevenson, Robert Louis",Fog -- California ; F850.5 ; PR,Browsing: History - American; Browsing: Nature/Gardening/Animals; Browsing: Travel & Geography,https://www.gutenberg.org/ebooks/5272.html.images
"""Chicago to the Sea."" Eastern Excursionist
A complete guide to the principal eastern summer resorts, including: Niagara Falls, the White Mountains, Saint Lawrence and Saguenay Rivers, Montreal and Quebec, the New England sea beaches, etc., and how and when to enjoy them.","Gage, William C.",New England -- Description and travel ; United States -- Description and travel ; Saint Lawrence River -- Description and travel ; F001,Browsing: History - American; Browsing: Travel & Geography,https://www.gutenberg.org/ebooks/49894.html.images
"Fairy Tales, Volume 2 (of 2)",,Fairy tales ; PZ,Browsing: Children & Young Adult Reading; Browsing: Literature,https://www.gutenberg.org/ebooks/67777.html.images
"Histoire amoureuse des Gaules; suivie des Romans historico-satiriques du XVIIe siècle, Tome II","Bussy, Roger de Rabutin, comte de",PQ ; France -- Court and courtiers ; Erotic literature ; DC,FR Séduction et libertinage; Browsing: Culture/Civilization/Society; Browsing: History - European; Browsing: Literature; Browsing: Sexuality & Erotica,https://www.gutenberg.org/ebooks/28789.html.images
Loaves and fishes,"Capes, Bernard","English fiction ; Short stories, English ; PR",Browsing: Literature; Browsing: Fiction,https://www.gutenberg.org/ebooks/71615.html.images
"Pilven hattaroita I
Pieniä kyhäelmiä","Kurikka, Matti",Fiction ; PH,Browsing: Literature; Browsing: Fiction,https://www.gutenberg.org/ebooks/15318.html.images
Montlivet,"Smith, Alice Prescott","PS ; United States -- History -- French and Indian War, 1754-1763 -- Fiction",Browsing: History - American; Browsing: Literature; Browsing: Fiction,https://www.gutenberg.org/ebooks/16733.html.images
Η ολοκαύτωσις του Αρκαδίου,"Kondylakes, Ioannes","DF ; Crete (Greece) -- History -- Insurrection, 1866-1868",Browsing: History - European; Browsing: History - General,https://www.gutenberg.org/ebooks/35655.html.images
"De Chineesche Filosofie, Toegelicht voor niet-Sinologen, 1. Kh'oeng Foe Tsz' (Confucius)","Borel, Henri","B ; Philosophy, Chinese",Browsing: Philosophy & Ethics; Browsing: Religion/Spirituality/Paranormal,https://www.gutenberg.org/ebooks/64781.html.images
"Adventures of Huckleberry Finn, Chapters 11 to 15","Twain, Mark","Male friendship -- Fiction ; Runaway children -- Fiction ; Finn, Huckleberry (Fictitious character) -- Fiction ; Missouri -- Fiction ; Fugitive slaves -- Fiction ; Mississippi River -- Fiction ; Race relations -- Fiction ; Humorous stories ; PZ ; Adventure stories ; Boys -- Fiction ; PS ; Bildungsromans",Browsing: Culture/Civilization/Society; Browsing: Humour; Browsing: Literature; Browsing: Fiction,https://www.gutenberg.org/ebooks/7102.html.images
La Débâcle,"Zola, Émile","PQ ; Franco-Prussian War, 1870-1871 -- Fiction",Best Books Ever Listings; FR Littérature; Browsing: History - Warfare; Browsing: Literature; Browsing: Fiction,https://www.gutenberg.org/ebooks/17831.html.images
"Cedric, the Forester","Marshall, Bernard Gay",Great Britain -- History -- 13th century -- Juvenile fiction ; Knights and knighthood -- Juvenile fiction ; Adventure stories ; PZ,Browsing: Children & Young Adult Reading; Browsing: History - British; Browsing: Fiction,https://www.gutenberg.org/ebooks/37102.html.images
