Title,Authors,Subjects,Bookshelves,Read online (web)
The Beggar's Purse: A Fairy Tale of Familiar Finance,"Adams, Samuel Hopkins","World War, 1914-1918 -- United States -- Fiction ; PS ; Finance, Personal -- Fiction ; Short stories",Browsing: Literature; Browsing: Fiction,https://www.gutenberg.org/ebooks/44327.html.images
"The Haunted House: A True Ghost Story
Being an account of the mysterious manifestations that have taken place in the presence of Esther Cox, the young girl who is possessed of devils, and has become known throughout the entire dominion as the great Amherst mystery","Hubbell, Walter","Cox, Esther, 1860-1912 ; Ghosts -- Nova Scotia -- Amherst ; BF",Browsing: Psychiatry/Psychology; Browsing: Religion/Spirituality/Paranormal,https://www.gutenberg.org/ebooks/16975.html.images
"Fables for Children, Stories for Children, Natural Science Stories, Popular Education, Decembrists, Moral Tales","Tolstoy, Leo, graf",Russian literature -- Translations into English ; PG,Browsing: Children & Young Adult Reading; Browsing: Literature; Browsing: Russian Interest,https://www.gutenberg.org/ebooks/38025.html.images
Cape Cod is a number of things,"Neal, Allan","Cape Cod (Mass.) -- Description and travel ; F001 ; Cape Cod (Mass.) -- History -- Anecdotes ; Cape Cod (Mass.) -- History, Local",Browsing: Culture/Civilization/Society; Browsing: Travel & Geography,https://www.gutenberg.org/ebooks/74413.html.images
"Phil Purcel, The Pig-Driver; The Geography Of An Irish Oath; The Lianhan Shee
Traits And Stories Of The Irish Peasantry, The Works of
William Carleton, Volume Three","Carleton, William",Ireland -- Social life and customs -- Fiction ; PR,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,https://www.gutenberg.org/ebooks/16015.html.images
The Story of the Battle Hymn of the Republic,"Hall, Florence Howe","Howe, Julia Ward, 1819-1910. Battle hymn of the Republic ; PS ; Battle hymn of the republic (Song)",Browsing: History - American; Browsing: Literature,https://www.gutenberg.org/ebooks/66683.html.images
Conversion of a High Priest into a Christian Worker,"Golden, M. (Meletios)","BX ; Golden, M. (Meletios)",Browsing: Philosophy & Ethics; Browsing: Psychiatry/Psychology; Browsing: Religion/Spirituality/Paranormal,https://www.gutenberg.org/ebooks/24179.html.images
El tesoro misterioso,"Le Queux, William",Detective and mystery stories ; PR,Browsing: Crime/Mystery; Browsing: Literature; Browsing: Fiction,https://www.gutenberg.org/ebooks/29830.html.images
"Tower's Little Primer, for the youngest class in primary school","Tower, Anna E.",PE ; Readers (Primary),Browsing: Children & Young Adult Reading; Browsing: Teaching & Education,https://www.gutenberg.org/ebooks/40415.html.images
Os Lusíadas,"Camões, Luís de","PQ ; Gama, Vasco da, 1469-1524 -- Poetry ; Explorers -- Portugal -- Poetry ; Portuguese poetry -- Classical period, 1500-1700 ; Epic poetry, Portuguese ; India -- Discovery and exploration -- Poetry ; Portugal -- Colonies -- Asia -- Poetry",PT Poesia; Poetry; Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Poetry,https://www.gutenberg.org/ebooks/3333.html.images
Pictorial Photography in America 1922,Pictorial Photographers of America,"TR ; Photography, Artistic -- Periodicals",Photography; Browsing: Art & Photography; Browsing: Computers & Technology,https://www.gutenberg.org/ebooks/28024.html.images
"The Albert N'Yanza, Great Basin of the Nile, And Explorations of the Nile Sources","Baker, Samuel White, Sir","Albert, Lake (Congo and Uganda) ; DT ; Nile River ; Sudan",Egypt; Browsing: History - General; Browsing: Travel & Geography,https://www.gutenberg.org/ebooks/3668.html.images
"The Jargon File, Version 4.2.2, 20 Aug 2000",,Computers -- Humor ; Computers -- Slang -- Dictionaries ; Electronic data processing -- Terminology -- Humor ; TK,Reference; Browsing: Computers & Technology; Browsing: Encyclopedias/Dictionaries/Reference; Browsing: Humour,https://www.gutenberg.org/ebooks/3008.html.images
Chitimacha Notebook: Writings of Emile Stouff—A Chitimacha Chief,"Stouff, Emile",Chitimacha Indians ; Indians of North America -- Louisiana ; E011,Browsing: Culture/Civilization/Society; Browsing: History - American,https://www.gutenberg.org/ebooks/62803.html.images
Attila: Historiallinen romaani kansainvaelluksen ajoilta,"Dahn, Felix","PT ; Attila, -453 -- Fiction",Browsing: History - General; Browsing: Literature; Browsing: Fiction,https://www.gutenberg.org/ebooks/49040.html.images
In Times of Peril: A Tale of India,"Henty, G. A. (George Alfred)","India -- History -- Sepoy Rebellion, 1857-1858 -- Juvenile fiction ; PZ",Children's Fiction; Browsing: Children & Young Adult Reading; Browsing: History - General; Browsing: Fiction,https://www.gutenberg.org/ebooks/7071.html.images
Flowers of the Sky,"Proctor, Richard A. (Richard Anthony)",Astronomy ; QB,Browsing: Science - Astronomy; Browsing: Science - General,https://www.gutenberg.org/ebooks/56133.html.images
"Excursions in the mountains of Ronda and Granada, with characteristic sketches of the inhabitants of southern Spain, vol. 2/2","Scott, C. Rochfort‏ (Charles Rochfort)",DP ; Spain -- Description and travel,Browsing: History - General; Browsing: Travel & Geography,https://www.gutenberg.org/ebooks/43705.html.images
Essays of Michel de Montaigne — Complete,"Montaigne, Michel de",PQ ; French essays -- Translations into English,Best Books Ever Listings; Banned Books from Anne Haight's list; Browsing: Language & Communication; Browsing: Literature,https://www.gutenberg.org/ebooks/3600.html.images
The Theatrocrat: A Tragic Play of Church and Stage,"Davidson, John",Drama ; PR,Browsing: Literature; Browsing: Performing Arts/Film; Browsing: Fiction,https://www.gutenberg.org/ebooks/53941.html.images
六韜,"Lü, Shang",U ; Military art and science -- China -- Early works to 1800 ; AC,Browsing: History - Warfare; Browsing: Other,https://www.gutenberg.org/ebooks/7340.html.images
Cathedral Cities of England,"Gilbert, George",England -- Description and travel ; Cathedrals -- England ; DA,Browsing: Culture/Civilization/Society; Browsing: History - British; Browsing: Travel & Geography,https://www.gutenberg.org/ebooks/34210.html.images
Heart of Man,"Woodberry, George Edward",Democracy ; Taormina (Italy) ; Poetry ; PS,Browsing: Literature; Browsing: Poetry; Browsing: Politics,https://www.gutenberg.org/ebooks/12329.html.images
Colas Breugnon: Récit bourguignon,"Rolland, Romain",French fiction -- 20th century ; PQ,FR Littérature; Browsing: Literature; Browsing: Fiction,https://www.gutenberg.org/ebooks/27854.html.images
"Great Epochs in American History, Volume 2
The Planting of the First Colonies: 1562—1733",,E151 ; United States -- History,Children's History; Browsing: Children & Young Adult Reading; Browsing: History - American,https://www.gutenberg.org/ebooks/16038.html.images
"Trial of the Major War Criminals Before the International Military Tribunal, Nuremburg, 14 November 1945-1 October 1946, Volume 04",Various,"Göring, Hermann, 1893-1946 -- Trials, litigation, etc. ; Nuremberg Trial of Major German War Criminals, Nuremberg, Germany, 1945-1946 ; War crime trials -- Germany -- Nuremberg ; KZ",World War II; Browsing: History - Warfare; Browsing: Law & Criminology,https://www.gutenberg.org/ebooks/54460.html.images
Un philosophe sous les toits,"Souvestre, Émile",Paris (France) -- Fiction ; PQ,FR Littérature; Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,https://www.gutenberg.org/ebooks/29282.html.images
Authentic Narrative of the Death of Lord Nelson,"Beatty, William","Admirals -- Great Britain -- Biography ; Nelson, Horatio Nelson, Viscount, 1758-1805 -- Death and burial ; DA",Browsing: Biographies; Browsing: History - European,
The Stolen White Elephant,"Twain, Mark",Detective and mystery stories ; PS ; Short stories,Browsing: Crime/Mystery; Browsing: Literature; Browsing: Fiction,
Munster Village,"Hamilton, Mary, Lady",Fiction ; PR,Browsing: Literature; Browsing: Fiction,https://www.gutenberg.org/ebooks/43743.html.images
The Thames,"Mitton, G. E. (Geraldine Edith)",Thames River (England) ; DA ; England -- Description and travel,Browsing: Culture/Civilization/Society; Browsing: History - European; Browsing: Travel & Geography,https://www.gutenberg.org/ebooks/44794.html.images
"Little Rifle; or, The Young Fur Hunters","Ellis, Edward Sylvester",Dime novels ; Trappers -- Fiction ; PS,Browsing: Literature; Browsing: Fiction,https://www.gutenberg.org/ebooks/65923.html.images
Legendary Yorkshire,"Ross, Frederick",Legends -- England -- Yorkshire ; GR,Browsing: Culture/Civilization/Society; Browsing: Travel & Geography,https://www.gutenberg.org/ebooks/53617.html.images
"Harper's Round Table, June 11, 1895",Various,Children's periodicals ; AP,Harper's Young People; Browsing: Children & Young Adult Reading; Browsing: Encyclopedias/Dictionaries/Reference,https://www.gutenberg.org/ebooks/33010.html.images
"In the Forest; Or, Pictures of Life and Scenery in the Woods of Canada: A Tale","Traill, Catharine Parr Strickland",Indians of North America -- Juvenile fiction ; Indian embroidery -- North America -- Juvenile fiction ; Canada -- Juvenile fiction ; Rivers -- Juvenile fiction ; Animals -- Juvenile fiction ; PZ ; Outdoor life -- Juvenile fiction ; Children -- Conduct of life -- Juvenile fiction ; Nature stories ; Frontier and pioneer life -- Ontario -- Juvenile fiction ; Birds -- Juvenile fiction ; Conduct of life -- Juvenile fiction,Browsing: Children & Young Adult Reading; Browsing: Nature/Gardening/Animals; Browsing: Fiction,https://www.gutenberg.org/ebooks/8607.html.images
Fringilla: Some Tales In Verse,"Blackmore, R. D. (Richard Doddridge)",Poetry ; PR,Browsing: Literature; Browsing: Poetry,https://www.gutenberg.org/ebooks/22474.html.images
Hanging by a Thread,"Garrett, Randall",Science fiction ; PS,Science Fiction; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction,https://www.gutenberg.org/ebooks/30308.html.images
"The Boy Aviators on Secret Service; Or, Working with Wireless","Goldfrap, John Henry",Flight -- Juvenile fiction ; Aeronautics -- Juvenile fiction ; PZ,Browsing: Children & Young Adult Reading; Browsing: Fiction,https://www.gutenberg.org/ebooks/45991.html.images
"Salome Shepard, reformer","Winslow, Helen M. (Helen Maria)",Utopias -- Fiction ; Young women -- Fiction ; Reformers -- Fiction ; New England -- Fiction ; Mills and mill-work -- Fiction ; PS ; Industrial relations -- Fiction,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,https://www.gutenberg.org/ebooks/69636.html.images
The Young Man's Guide,"Alcott, William A. (William Andrus)",Conduct of life ; BJ ; Young men,Sociology; Browsing: Philosophy & Ethics; Browsing: Psychiatry/Psychology; Browsing: Sociology,https://www.gutenberg.org/ebooks/23860.html.images
Christina,"Moberly, L. G. (Lucy Gertrude)",Love stories ; England -- Social life and customs -- Fiction ; PR,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,https://www.gutenberg.org/ebooks/38573.html.images
"Captain Desmond, V.C.","Diver, Maud","India -- History -- British occupation, 1765-1947 -- Fiction ; PR ; British -- India -- Fiction",Browsing: History - British; Browsing: History - General; Browsing: Fiction,https://www.gutenberg.org/ebooks/27629.html.images
"Dissertatio inauguralis physico-medica de respiratione
quam consensu & auctoritate gratiosissimi medicorum ordinis in universitate patria pro summis in arte medica honoribus & privilegiis doctoralibus rite consequendis....","Bernoulli, Daniel",Respiration ; QP,Browsing: Health & Medicine; Browsing: Science - General,https://www.gutenberg.org/ebooks/41763.html.images
"Vaimo, jonka minulle annoit","Caine, Hall, Sir",Man-woman relationships -- Fiction ; Married women -- Fiction ; PR,Browsing: Gender & Sexuality Studies; Browsing: Literature; Browsing: Fiction,https://www.gutenberg.org/ebooks/49562.html.images
21,"Crane, Frank",Conduct of life ; BJ,Browsing: Philosophy & Ethics; Browsing: Psychiatry/Psychology; Browsing: Religion/Spirituality/Paranormal,https://www.gutenberg.org/ebooks/23659.html.images
A West Country pilgrimage,"Phillpotts, Eden",Cornwall (England : County) -- Description and travel ; Devon (England) -- Description and travel ; DA,Travel; Browsing: History - European; Browsing: Travel & Geography,https://www.gutenberg.org/ebooks/36967.html.images
Alexandria: A History and a Guide,"Forster, E. M. (Edward Morgan)",DT ; Alexandria (Egypt) -- Guidebooks ; Alexandria (Egypt) -- History,Browsing: History - General; Browsing: Travel & Geography,https://www.gutenberg.org/ebooks/57010.html.images
Ilolaulu Jesuksesta,"Salamnius, Mattias",Jesus Christ -- Poetry ; PH,Browsing: Poetry,https://www.gutenberg.org/ebooks/35923.html.images
Further Adventures of Lad,"Terhune, Albert Payson",Dogs -- Folklore ; PS ; Dogs -- Juvenile fiction ; PZ,Animals-Domestic; Browsing: Children & Young Adult Reading; Browsing: Literature,https://www.gutenberg.org/ebooks/2392.html.images
Riders of the Purple Sage,"Grey, Zane",Women ranchers -- Fiction ; Utah -- Fiction ; PS ; Latter Day Saint women -- Fiction ; Polygamy -- Fiction ; Western stories,Western; Browsing: Culture/Civilization/Society; Browsing: Fiction,https://www.gutenberg.org/ebooks/1300.html.images
幻中游,"Yanxiazhuren, active 18th century","Su, Shi, 1037-1101 -- Fiction ; PL",Browsing: Literature; Browsing: Fiction,https://www.gutenberg.org/ebooks/26748.html.images
Celtic Literature,"Arnold, Matthew",PB ; Celtic literature -- History and criticism,Browsing: History - General; Browsing: Literature,https://www.gutenberg.org/ebooks/5159.html.images
Specialiteiten,Multatuli,PT ; Dutch literature,Browsing: Culture/Civilization/Society; Browsing: Language & Communication; Browsing: Literature,https://www.gutenberg.org/ebooks/10664.html.images
Seaward Sussex: The South Downs from End to End,"Holmes, Edric",Sussex (England) -- Description and travel ; DA,Browsing: History - European; Browsing: Travel & Geography,https://www.gutenberg.org/ebooks/12585.html.images
"U.S. Copyright Renewals, 1957 January - June",Library of Congress. Copyright Office,Copyright -- United States -- Catalogs ; Z,Browsing: Encyclopedias/Dictionaries/Reference; Browsing: Law & Criminology,https://www.gutenberg.org/ebooks/11815.html.images
Los Lusíadas: Poema épico en diez cantos,"Camões, Luís de","PQ ; Gama, Vasco da, 1469-1524 -- Poetry ; Epic poetry, Portuguese -- Translations into Spanish ; Portuguese poetry -- Classical period, 1500-1700 -- Translations into Spanish ; Explorers -- Portugal -- Poetry ; India -- Discovery and exploration -- Poetry ; Portugal -- Colonies -- Asia -- Poetry",Browsing: History - General; Browsing: Literature; Browsing: Poetry,https://www.gutenberg.org/ebooks/64775.html.images
"Der Weltverkehr
Telegraphie und Post, Eisenbahnen und Schiffahrt, in ihrer Entwickelung dargestellt","Geistbeck, Michael",Communication and traffic ; Transportation -- History ; HE,Browsing: Culture/Civilization/Society; Browsing: History - General; Browsing: Science - General,https://www.gutenberg.org/ebooks/53037.html.images
Alive in the Jungle: A Story for the Young,"Stredder, Eleanor",Indigo industry -- Juvenile fiction ; Siblings -- Juvenile fiction ; India -- Juvenile fiction ; PZ ; Parent and child -- Juvenile fiction ; Feral children -- Juvenile fiction ; Wolves -- Juvenile fiction ; Children -- Conduct of life -- Juvenile fiction ; Natural history -- Juvenile fiction ; Rescues -- Juvenile fiction ; Conduct of life -- Juvenile fiction,Browsing: Children & Young Adult Reading; Browsing: Fiction,https://www.gutenberg.org/ebooks/43595.html.images
Aunuksen helmi,"Eronen, Simo",Finnish fiction -- 20th century ; PH,Browsing: Nature/Gardening/Animals; Browsing: Fiction,https://www.gutenberg.org/ebooks/74503.html.images
"The suppressed Gospels and Epistles of the original New Testament of Jesus the Christ, Volume 4, Nicodemus","Wake, William",BS ; Apocryphal books (New Testament),Browsing: Philosophy & Ethics; Browsing: Religion/Spirituality/Paranormal,https://www.gutenberg.org/ebooks/6510.html.images
Topsy-Turvy Land: Arabia Pictured for Children,"Zwemer, Amy E. ; Zwemer, Samuel Marinus",DS ; Arabian Peninsula -- Description and travel,Browsing: Children & Young Adult Reading; Browsing: History - General; Browsing: Travel & Geography,https://www.gutenberg.org/ebooks/15658.html.images
Miniatürök,"Révész, Béla","Short stories, Hungarian ; PH ; Hungarian fiction -- 20th century",Browsing: Literature; Browsing: Fiction,https://www.gutenberg.org/ebooks/68489.html.images
Die Harzreise,"Heine, Heinrich",Harz Mountains (Germany) -- Description and travel ; German poetry -- 19th century ; PT,DE Prosa; DE Lyrik; Browsing: History - General; Browsing: Literature; Browsing: Travel & Geography,https://www.gutenberg.org/ebooks/24249.html.images
James Frederick Ferrier,"Haldane, Elizabeth Sanderson","Ferrier, James Frederick, 1808-1864 ; B",Famous Scots Series; Browsing: Biographies; Browsing: Philosophy & Ethics; Browsing: Psychiatry/Psychology; Browsing: Religion/Spirituality/Paranormal,https://www.gutenberg.org/ebooks/44949.html.images
"The Magic Egg, and Other Stories","Stockton, Frank R.",PS ; Short stories ; United States -- Social life and customs -- 19th century -- Fiction,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,https://www.gutenberg.org/ebooks/429.html.images
Things seen in Spain,"Hartley, C. Gasquoine (Catherine Gasquoine)",DP ; Spain -- Social life and customs,Browsing: Culture/Civilization/Society; Browsing: History - General; Browsing: Travel & Geography,https://www.gutenberg.org/ebooks/40201.html.images
The religions of ancient Egypt and Babylonia,"Sayce, A. H. (Archibald Henry)",BL ; Egypt -- Religion ; Assyro-Babylonian religion,Browsing: History - Ancient; Browsing: Religion/Spirituality/Paranormal,https://www.gutenberg.org/ebooks/35856.html.images
"Les Contemporains, 5ème Série
Études et Portraits Littéraires,","Lemaître, Jules","PQ ; French literature -- 19th century -- History and criticism ; Authors, French",FR Littérature; Browsing: History - General; Browsing: Literature,https://www.gutenberg.org/ebooks/27379.html.images
"The natural and artificial disintegration of the elements
An address by Professor Sir Ernest Rutherford","Rutherford, Ernest",Radioactivity ; QC ; Chemical elements ; Atoms,Browsing: Science - Chemistry/Biochemistry/Physics; Browsing: Science - General,https://www.gutenberg.org/ebooks/69551.html.images
Pearl-Maiden: A Tale of the Fall of Jerusalem,"Haggard, H. Rider (Henry Rider)",Historical fiction ; PR ; Jerusalem -- History -- Fiction,Browsing: History - General; Browsing: Literature; Browsing: Fiction,https://www.gutenberg.org/ebooks/5175.html.images
The Time Machine,"Wells, H. G. (Herbert George)",Science fiction ; Time travel -- Fiction ; PR ; Dystopias -- Fiction,Science Fiction; Movie Books; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction,
Artificial Light: Its Influence upon Civilization,"Luckiesh, Matthew",Lighting -- History ; Electric lighting ; TP,Technology; Browsing: Science - General,https://www.gutenberg.org/ebooks/17625.html.images
Out of the Earth,"Edrich, George","Science fiction ; PS ; Civilization, Subterranean -- Fiction ; Short stories",Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction,https://www.gutenberg.org/ebooks/31597.html.images
"Two diaries From Middle St. John's, Berkeley, South Carolina, February-May, 1865
Journals kept by Miss Susan R. Jervey and Miss Charlotte St. J. Ravenel, at Northampton and Pooshee plantations, and reminiscences of Mrs. (Waring) Henagan; with two contemporary reports from federal officials.","Jervey, Susan R. (Susan Ravenel) ; Ravenel, Charlotte St. J. (Charlotte St. Julien) ; Henagan, Mary Rhodes Waring","E456 ; United States -- History -- Civil War, 1861-1865 -- Personal narratives, Confederate",Browsing: History - American; Browsing: History - Warfare; Browsing: Journals,https://www.gutenberg.org/ebooks/51215.html.images
Primitive Man,"Figuier, Louis",Archaeology ; Prehistoric peoples ; GN,Browsing: Archaeology; Browsing: Culture/Civilization/Society,https://www.gutenberg.org/ebooks/42380.html.images
"The English Flower Garden
with illustrative notes","Bright, Henry Arthur",SB ; Flower gardening -- England ; Gardens -- England,Browsing: Nature/Gardening/Animals; Browsing: Other,https://www.gutenberg.org/ebooks/48985.html.images
"The Angel Children
or, Stories from Cloud-Land","Higgins, Charlotte M.",Christian life -- Juvenile fiction ; Children's stories ; Angels -- Juvenile fiction ; PZ,Children's Fiction; Browsing: Children & Young Adult Reading; Browsing: Fiction,https://www.gutenberg.org/ebooks/20043.html.images
"Rhymes and Meters
A Practical Manual for Versifiers","Winslow, Horatio",PE ; Versification,Browsing: Literature; Browsing: Poetry,https://www.gutenberg.org/ebooks/30778.html.images
"Die Brüder Wright
Eine Studie ueber die Entwicklung der Flugmaschine von Lilienthal bis Wright","Hildebrandt, A. (Alfred)",TL ; Aeronautics -- History,German Language Books; DE Sachbuch; Browsing: Engineering & Construction; Browsing: Science - General,https://www.gutenberg.org/ebooks/10914.html.images
De l'influence des passions sur le bonheur des individus et des nations,"Staël, Madame de (Anne-Louise-Germaine)",Emotions ; BF ; Character,"FR Philosophie, Religion et Morale; Browsing: Philosophy & Ethics; Browsing: Psychiatry/Psychology",https://www.gutenberg.org/ebooks/19232.html.images
Why Colored People in Philadelphia Are Excluded from the Street Cars,"Hunt, Benjamin P. (Benjamin Peter)",Segregation in transportation -- Pennsylvania -- Philadelphia ; United States -- Race relations ; E151 ; African Americans -- Pennsylvania -- Philadelphia,Browsing: Culture/Civilization/Society; Browsing: History - American; Browsing: Politics,https://www.gutenberg.org/ebooks/61529.html.images
The Pinafore Picture Book: the Story of H.M.S. Pinafore,"Gilbert, W. S. (William Schwenck)","Ship captains -- Juvenile fiction ; Ships -- Juvenile fiction ; PZ ; Seafaring life -- Juvenile fiction ; Operas -- Stories, plots, etc. -- Juvenile literature",Browsing: Children & Young Adult Reading; Browsing: Literature; Browsing: Fiction,https://www.gutenberg.org/ebooks/65291.html.images
"Amour, Amour, Dear Planet!","Clutter, Mark",Space travelers -- Fiction ; Human-alien encounters -- Fiction ; Short stories ; Science fiction ; Life on other planets -- Fiction ; Kidnapping -- Fiction ; PS,Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction,https://www.gutenberg.org/ebooks/64480.html.images
Ευθύφρων,Plato,"Socrates, 470 BC-399 BC ; PA ; Philosophy, Ancient ; Classical literature",Browsing: History - Ancient; Browsing: Literature; Browsing: Philosophy & Ethics,https://www.gutenberg.org/ebooks/30748.html.images
The Secret of Lonesome Cove,"Adams, Samuel Hopkins",New England -- Fiction ; Detective and mystery stories ; PS,Browsing: Culture/Civilization/Society; Browsing: Crime/Mystery; Browsing: Literature; Browsing: Fiction,https://www.gutenberg.org/ebooks/36335.html.images
God's Playthings,"Bowen, Marjorie","Short stories, English ; Historical fiction ; Biographical fiction ; PR",Browsing: History - General; Browsing: Literature; Browsing: Fiction,https://www.gutenberg.org/ebooks/49504.html.images
Sodome et Gomorrhe - Première partie,"Proust, Marcel",Autobiographical fiction ; France -- Social life and customs -- Fiction ; PQ,FR Littérature; Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,https://www.gutenberg.org/ebooks/15288.html.images
The Olive,"Bitting, K. G. (Katherine Golden)",TX ; Olive,Browsing: Cooking & Drinking; Browsing: Science - General,https://www.gutenberg.org/ebooks/51780.html.images
Summit,"Reynolds, Mack",Science fiction ; PS ; Short stories,Science Fiction; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction,https://www.gutenberg.org/ebooks/23669.html.images
"Thomas Hariot, the Mathematician, the Philosopher and the Scholar","Stevens, Henry","F206 ; Harriot, Thomas, 1560-1621 ; Hercules Club",Browsing: History - American; Browsing: History - General,https://www.gutenberg.org/ebooks/5171.html.images
Halleck's New English Literature,"Halleck, Reuben Post",English literature -- History and criticism ; PR,Browsing: History - General; Browsing: Literature,https://www.gutenberg.org/ebooks/10631.html.images
Le capitaine Fracasse,"Gautier, Théophile","PQ ; France -- History -- Louis XIII, 1610-1643 -- Fiction",FR Illustrateurs; FR Jeunesse; FR Littérature; Browsing: Literature; Browsing: Fiction,https://www.gutenberg.org/ebooks/60746.html.images
Kotipellon kynnökseltä: Kertomuksia,"Nikkinen, Jaakko","Short stories, Finnish ; Finnish fiction -- 20th century ; PH",Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,https://www.gutenberg.org/ebooks/55936.html.images
"Thoughts of the servant of God, Thérèse of the Child Jesus","Thérèse, de Lisieux, Saint",BX ; Meditations,Browsing: Philosophy & Ethics; Browsing: Psychiatry/Psychology; Browsing: Religion/Spirituality/Paranormal,https://www.gutenberg.org/ebooks/72720.html.images
The Data of Ethics,"Spencer, Herbert","Ethics, Evolutionary ; BJ",Browsing: Philosophy & Ethics; Browsing: Psychiatry/Psychology; Browsing: Religion/Spirituality/Paranormal,https://www.gutenberg.org/ebooks/46129.html.images
Message from Venus,"Winterbotham, R. R. (Russell Robert)",Short stories ; Venus (Planet) -- Fiction ; Science fiction ; Space ships -- Fiction ; PS ; War stories,Browsing: Science-Fiction & Fantasy; Browsing: Fiction,https://www.gutenberg.org/ebooks/64826.html.images
"A Treatise on Sheep:
The Best Means for their Improvement, General Management, and the Treatment of their Diseases.","Blacklock, Ambrose",Sheep ; SF,Animals-Domestic; Browsing: Nature/Gardening/Animals; Browsing: Science - Earth/Agricultural/Farming,https://www.gutenberg.org/ebooks/38189.html.images
Historical Sketches of Colonial Florida,"Campbell, Richard L.",Florida -- History -- To 1821 ; F296 ; Pensacola (Fla.) -- History,Browsing: History - American; Browsing: History - General,https://www.gutenberg.org/ebooks/53243.html.images
"The Life of Isaac Ingalls Stevens, Volume 1 (of 2)","Stevens, Hazard","Pacific Coast Indians, Wars with, 1847-1865 ; Stevens, Isaac Ingalls, 1818-1862 ; Northwest, Pacific -- History ; F850.5 ; United States -- History -- Civil War, 1861-1865 -- Campaigns ; Mexican War, 1846-1848 -- Personal narratives",Browsing: History - American; Browsing: History - General,https://www.gutenberg.org/ebooks/43589.html.images
"The Works of Robert Louis Stevenson - Swanston Edition, Vol. 03","Stevenson, Robert Louis",English literature -- 19th century ; Horror tales ; Literature -- History and criticism ; PN ; PR,Browsing: Literature; Browsing: Fiction,https://www.gutenberg.org/ebooks/30729.html.images
Rodman the Keeper: Southern Sketches,"Woolson, Constance Fenimore",Short stories ; PS ; United States -- Social life and customs -- 19th century -- Fiction ; Southern States -- Social life and customs -- Fiction,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,https://www.gutenberg.org/ebooks/33813.html.images
"The Grenadier Guards in the Great War of 1914-1918, Vol. 1 of 3","Ponsonby, Frederick","World War, 1914-1918 -- Regimental histories -- Great Britain ; D501 ; Great Britain. Army. Grenadier Guards",Browsing: History - General; Browsing: History - Warfare,https://www.gutenberg.org/ebooks/60677.html.images
A Book of Old Ballads — Volume 4,,"Ballads, English -- Texts ; PR",Browsing: Literature,https://www.gutenberg.org/ebooks/7534.html.images
Pascal's Pensées,"Pascal, Blaise",Apologetics ; B ; Philosophy,Harvard Classics; Banned Books from Anne Haight's list; Browsing: Philosophy & Ethics; Browsing: Religion/Spirituality/Paranormal,https://www.gutenberg.org/ebooks/18269.html.images
"Church History, Volume 3 (of 3)","Kurtz, J. H. (Johann Heinrich)",Church history ; BR,Browsing: History - Religious; Browsing: Religion/Spirituality/Paranormal,https://www.gutenberg.org/ebooks/37404.html.images
"Graham's Magazine, Vol. XLI, No. 3, September 1852",Various,"Literature -- Periodicals ; AP ; Literature, Modern -- 19th century -- Periodicals",Browsing: Encyclopedias/Dictionaries/Reference; Browsing: Literature,https://www.gutenberg.org/ebooks/47751.html.images
The Brighton Road: The Classic Highway to the South,"Harper, Charles G. (Charles George)","England -- Description and travel ; England -- Social life and customs ; Brighton Road (London, England) ; DA",Browsing: Culture/Civilization/Society; Browsing: History - General; Browsing: Travel & Geography,https://www.gutenberg.org/ebooks/38611.html.images
In Quest of El Dorado,"Graham, Stephen",United States -- Description and travel ; Panama -- Description and travel ; Mexico -- Description and travel ; West Indies -- Description and travel ; F1401,Browsing: History - General; Browsing: Travel & Geography,https://www.gutenberg.org/ebooks/64349.html.images
"The best stories of Sarah Orne Jewett, Volume 2 (of 2)","Jewett, Sarah Orne","Short stories, American ; PS ; American fiction -- 19th century",Browsing: Literature; Browsing: Fiction,https://www.gutenberg.org/ebooks/74980.html.images
"Scrap Book of Mormon Literature (Vol. 1 of 2)
Religious Tracts",,Latter Day Saint churches -- Doctrines ; BX ; Latter Day Saints ; Church of Jesus Christ of Latter-day Saints -- Doctrines,Latter Day Saints; Browsing: Philosophy & Ethics; Browsing: Religion/Spirituality/Paranormal,https://www.gutenberg.org/ebooks/60056.html.images
Modern Musical Drift,"Henderson, W. J. (William James)","Music -- History and criticism ; Wagner, Richard, 1813-1883 ; ML ; Strauss, Richard, 1864-1949",Browsing: History - General; Browsing: Literature; Browsing: Music,https://www.gutenberg.org/ebooks/54426.html.images
